id,nombre_sitio,delegacion,latitud,longitud,profundidad_naf_m,intensidad_calor,categoria_evidencia,tipo_suelo_geologia,fuente_documental,verificacion
P16,Cañón Johnson / Venero Col. Hidalgo,Centro - Cañón Johnson,32.5125,-117.0460,0.8,1.00,Manantial / Afloramiento Natural,Contacto geológico permeable-impermeable,Afloramiento permanente de agua dulce de venero natural documentado por vecinos y CESPT,Verificado
P17,Aguaje de la Tuna / Manantial Histórico,San Antonio de los Buenos,32.4840,-117.0250,1.0,1.00,Manantial / Afloramiento Natural,Discordancia geológica basal,Manantial histórico fundacional de Tijuana registrado en cartografía histórica del Siglo XIX,Verificado
P18,Cañón del Sáinz / Vado Principal,Presa Rural,32.4280,-116.9450,3.5,0.85,Afloramiento / Norias Agrícolas,Depósitos aluviales y coluviales en cañada,Norias rústicas artesanales y brotes de humedad freática en pie de talud,Verificado
P19,Sauceda Cañón de San Antonio,Otay - La Mesa,32.5180,-116.9650,2.5,0.90,Bioindicador Freatófito,Aluvión húmedo en fondo de cañada,Observaciones iNaturalist Salix gooddingii y Populus fremontii (freatófitos obligados),Verificado
P20,Arroyo Huertita / Sauceda Costera,Playas Sur,32.4950,-117.1050,2.8,0.88,Bioindicador Freatófito,Aluvión de cañada costera sin red de agua,Bosquete de Salix laevigata dependiente de manto freático colgado somero permanente,Verificado
P21,Pozo Industrial Agua Caliente,La Mesa,32.5183,-116.8406,6.5,0.65,Aprovechamiento Concesionado REPDA,Aluvión del Río Tijuana,Título REPDA CONAGUA 01BCA100142/01IPGR94 uso servicios e industrial,Verificado
P22,Pozos Aluviales El Florido,El Florido - La Presa,32.4650,-116.8550,7.2,0.60,Piezometría Oficial CONAGUA,Gravas y arenas aluviales de recarga,Censo CONAGUA DR_0201 (18 pozos censados en sector El Florido),Verificado
P23,Pozo Las Montañas,San Antonio de los Buenos,32.4700,-117.0300,5.8,0.70,Aprovechamiento Concesionado REPDA,Conglomerados y arenas de transición,Título REPDA CONAGUA 01BCA100709/01FMGR94 extracción subterránea activa,Verificado
R01,Compañía Embotelladora del Fuerte (Coca-Cola) / Río Tijuana 3ra Etapa,La Mesa - Insurgentes,32.4990,-116.9280,4.5,0.90,Concesión Subterránea REPDA (Industrial),Aluvión del Río Tijuana de alta recarga y transmisividad,"REPDA CONAGUA Título BCA101749 (2 pozos, 387,680 m3/año de extracción subterránea)",Oficial CONAGUA
R02,Pasteurizadora Jersey del Noroeste / Vía Rápida Poniente,La Mesa - Benítez,32.5080,-116.9680,5.2,0.90,Concesión Subterránea REPDA (Industrial),Depósitos aluviales y lentes arenosos cuenca media Río Tijuana,"REPDA CONAGUA Título BCA109271 (3 pozos, 378,432 m3/año de extracción subterránea)",Oficial CONAGUA
R03,Hipódromo de Agua Caliente / Estadio Caliente,La Mesa - Hipódromo,32.5120,-117.0050,4.8,0.85,Concesión Subterránea REPDA (Servicios),Aluvión del Valle de Agua Caliente con gradiente termal somero,"REPDA CONAGUA Título 01BCA109174/01ELGR04 (150,000 m3/año) y 1BCA101317 (90,000 m3/año)",Oficial CONAGUA
R04,Club Social y Deportivo Campestre de Tijuana A.C.,Centro - Campestre,32.5140,-117.0120,3.8,0.90,Permiso de Descarga y Bombeo REPDA,Aluvión saturado somero del Valle de Agua Caliente,"REPDA CONAGUA Título 01BCA150194/01ERDA18 (Descarga y achique de 2,592 m3/día)",Oficial CONAGUA
R05,Unión de Distribuidores de Agua en Tanque (Pipas CROM/CROC),La Mesa - Vía Rápida,32.5180,-116.9850,4.2,0.92,Concesión Subterránea REPDA (Servicios),Aluvión fluvial grueso de máxima explotación para pipas,"REPDA CONAGUA Título 01BCA100166/01EMDA14 (2 pozos, 294,600 m3/año de extracción)",Oficial CONAGUA
R06,Comité de Agua Potable Col. Ricardo Flores Magón A.C.,San Antonio de los Buenos,32.4720,-117.0510,3.6,0.88,Pozo Comunitario Público Urbano REPDA,Fondo de cañada aluvial permeable sobre arcillas Fm. Otay,"REPDA CONAGUA Título 01BCA108150/01HMGR00 (Pozo comunitario público urbano, 4,500 m3/año)",Oficial CONAGUA
R07,Prime Wheel México / Ciudad Industrial El Florido,La Presa - El Florido,32.4750,-116.8850,7.5,0.70,Concesión Subterránea REPDA (Industrial 2023),Gravas y arenas aluviales cuenca El Florido,"REPDA CONAGUA Título 851051 (Pozo industrial vigente 2023, 125,000 m3/año)",Oficial CONAGUA
R08,Submetrópoli de Tijuana (Fideicomiso NAFINSA) / El Florido,La Presa - El Florido,32.4580,-116.8450,6.8,0.75,Concesión Subterránea REPDA (Batería Pozos),Cono de deyección aluvial y arenas gruesas de recarga,"REPDA CONAGUA Título 1BCA100183/01AMGR94 (Batería de 4 pozos, 256,320 m3/año)",Oficial CONAGUA
R09,Dart de Tijuana S. de R.L. de C.V. / Parque Industrial La Mesa,La Mesa,32.5020,-116.9550,5.0,0.80,Concesión Subterránea REPDA (Industrial),Aluvión intermedio saturado cuenca media,"REPDA CONAGUA Título 01BCA108416/01ISOC12 (2 pozos, 195,640 m3/año + descargas)",Oficial CONAGUA
R10,CESPT Batería Principal Pozos Río Tijuana (19 Pozos),Centro - Aluvión Río Tijuana,32.5250,-117.0080,3.8,0.98,Batería Oficial Masiva CESPT (19 Pozos),Aluvión cuaternario principal del Valle de Tijuana (Acuífero 0201),"REPDA CONAGUA Título 01BCA100301/01HSDA19 (19 pozos subterráneos, 13,213,584 m3/año)",Oficial CONAGUA
R11,Servicios de Hotelería El Soler (Cañón del Matadero),Playas de Tijuana - El Soler,32.5310,-117.0780,2.4,0.95,Concesión Zona Federal / Cañada Húmeda,Ladera de cañón costero con freático colgado y flujo hacia el mar,"REPDA CONAGUA Título 836987 (Zona Federal 4,844 m2 en cauce / drenaje)",Oficial CONAGUA
R12,Inmobiliaria San Antonio del Mar S.A. de C.V.,San Antonio de los Buenos - Costa,32.4450,-117.0980,3.2,0.88,Permiso de Descarga y Drenaje Costero,Terraza marina y aluvión costero sobre acantilado,REPDA CONAGUA Título 01BCA150205/01EROC13 (Descarga y achique de 412.80 m3/día),Oficial CONAGUA
R13,Fraccionadora San Marino S. de R.L. de C.V.,San Antonio de los Buenos - Costa,32.4350,-117.0850,3.5,0.85,Permiso de Descarga Costera,Suelo colapsable de terraza marina y descarga freática,REPDA CONAGUA Título 01BCA150131/01EROC12 (Descarga de drenaje freático costero),Oficial CONAGUA
R14,SEDENA Cuartel Morelos / 28vo Batallón de Infantería,San Antonio de los Buenos - Aguaje,32.4860,-117.0310,2.0,0.95,Aprovechamiento y Descarga Federal,Contacto geológico basal y manantiales del Aguaje de la Tuna,REPDA CONAGUA Título 01BCA150147/01EROC12 y 01BCA150293 (Aguaje de la Tuna),Oficial CONAGUA
R15,Fuentes Brotantes de Tijuana,Centro - Valle de Tijuana,32.5240,-117.0350,1.2,1.00,Afloramiento / Concesión Subterránea,Aluvión basal con nivel freático aflorante,REPDA CONAGUA Título BCA101675 (Concesión histórica de fuente brotante / manantial),Oficial CONAGUA
R16,Plaza Agua Caliente (Torres Campestre),Centro - Agua Caliente,32.5160,-117.0160,3.4,0.88,Concesión Subterránea y Cárcamo,Aluvión del Valle de Agua Caliente con losa de supresión,REPDA CONAGUA Título 01BCA101318/01EMGR04 (Extracción subterránea autorizada),Oficial CONAGUA
R17,Aeropuerto Internacional de Tijuana (GAP),Otay Centenario,32.5440,-116.9720,8.5,0.65,Concesión Subterránea Aeroportuaria,Formación Otay lente colgado en conglomerado cementado,"REPDA CONAGUA Título BCA101394 (Pozo subterráneo aeroportuario, 84,000 m3/año)",Oficial CONAGUA
R18,Batería Pecuaria Ejido Mesa Redonda (5 Pozos),Presa Rural - Mesa Redonda,32.4150,-116.9150,5.5,0.75,Batería de Pozos Pecuarios REPDA,Aluvión y coluvión de cañada en ladera sur de la Presa,REPDA CONAGUA Títulos 01BCA105667 a 105671 (Batería de 5 pozos pecuarios),Oficial CONAGUA
R19,Batería Agrícola Familia Gutiérrez Valenzuela (10 Pozos),Otay Centenario - Alamar,32.5250,-116.9350,4.5,0.85,Batería Masiva Agrícola REPDA (10 Pozos),Aluvión fluvial grueso de máxima recarga en el Arroyo Alamar,"REPDA CONAGUA Títulos 01BCA156959 a 156968 (10 pozos agrícolas, 180,000+ m3/año)",Oficial CONAGUA
R20,Toyota Motor Manufacturing de Baja California,La Presa Este,32.4850,-116.7850,7.8,0.65,Concesión Subterránea y Descarga Industrial,Aluvión de pie de monte y transición granítica cuenca alta,"REPDA CONAGUA Título 844753 y 01BCA109150 (2,184 m3/año pozo + 2,250 m3/día descarga)",Oficial CONAGUA
